k_subset,language,n_unsafe_prompts,n_models_available,best_single_model,best_single_model_short,best_single_model_recall,oracle_or_recall_any_model,missed_by_all_rate,complementarity_gap
2,Chinese (Simplified),99,12,guardreasoner,GuardReasoner,0.8282828282828283,0.9797979797979798,0.020202020202020204,0.1515151515151515
2,Lao,101,12,crest,CREST,0.8118811881188119,0.9603960396039604,0.039603960396039604,0.14851485148514842
2,Tamil,105,12,qwen3guard_gen,Qwen3Guard,0.7904761904761904,0.9333333333333333,0.06666666666666667,0.1428571428571429
2,Chinese (Traditional),91,12,guardreasoner,GuardReasoner,0.8351648351648352,0.978021978021978,0.02197802197802198,0.1428571428571428
2,Kazakh,100,12,qwen3guard_gen,Qwen3Guard,0.77,0.91,0.09,0.14
2,Ukrainian,108,12,guardreasoner,GuardReasoner,0.8425925925925926,0.9814814814814815,0.018518518518518517,0.13888888888888895
2,Telugu,101,12,crest,CREST,0.8415841584158416,0.9801980198019802,0.019801980198019802,0.13861386138613863
2,Gujarati,109,12,qwen3guard_gen,Qwen3Guard,0.8256880733944955,0.963302752293578,0.03669724770642202,0.13761467889908252
2,Thai,100,12,qwen3guard_gen,Qwen3Guard,0.82,0.95,0.05,0.13
2,Hindi,108,12,guardreasoner,GuardReasoner,0.8333333333333334,0.9629629629629629,0.037037037037037035,0.12962962962962954
2,Kannada,108,12,crest,CREST,0.8333333333333334,0.9629629629629629,0.037037037037037035,0.12962962962962954
2,Nepali,109,12,qwen3guard_gen,Qwen3Guard,0.8073394495412844,0.9357798165137615,0.06422018348623854,0.12844036697247707
2,Bengali,103,12,crest,CREST,0.8349514563106796,0.9611650485436893,0.038834951456310676,0.12621359223300976
2,Korean,97,12,crest,CREST,0.845360824742268,0.9690721649484536,0.030927835051546393,0.12371134020618557
2,Serbian,106,12,guardreasoner,GuardReasoner,0.8584905660377359,0.9811320754716981,0.018867924528301886,0.12264150943396224
2,Khmer,102,12,qwen3guard_gen,Qwen3Guard,0.7843137254901961,0.8921568627450981,0.10784313725490197,0.10784313725490202
2,Kyrgyz,97,12,crest,CREST,0.845360824742268,0.9484536082474226,0.05154639175257732,0.1030927835051546
2,Burmese,99,12,crest,CREST,0.9090909090909091,1.0,0.0,0.09090909090909094
2,Persian,105,12,wildguard,WildGuard,0.9047619047619048,0.9904761904761905,0.009523809523809525,0.08571428571428574
2,Vietnamese,105,12,crest,CREST,0.8666666666666667,0.9523809523809523,0.047619047619047616,0.08571428571428563
2,Malayalam,103,12,qwen3guard_gen,Qwen3Guard,0.8543689320388349,0.9320388349514563,0.06796116504854369,0.07766990291262144
2,Oriya (Odia),130,12,crest,CREST,0.8692307692307693,0.9461538461538461,0.05384615384615385,0.07692307692307687
2,Arabic,106,12,wildguard,WildGuard,0.9339622641509434,1.0,0.0,0.06603773584905659
2,Armenian,106,12,wildguard,WildGuard,0.9716981132075472,1.0,0.0,0.028301886792452824
2,Pashto,105,12,wildguard,WildGuard,0.9809523809523809,1.0,0.0,0.01904761904761909
2,Portuguese,108,12,wildguard,WildGuard,0.9814814814814815,1.0,0.0,0.01851851851851849
