k_subset,quality_bucket,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
2,standard_quality,llamaguard_permissive,3372,970,3372,0,0,1.0,0.0,0.0,3372,0,407,2965,2965,0,0,0.12069988137603796,1.0,0.12069988137603796,0.12069988137603796,0.21540089970891768,0.8793001186239621,0.8793001186239621,,,,0.6568391577275481,0.6513549089431763,0.09336706276796028,0.3547131022723438,0.3486451506614685,0.8927626672199754,0.8958635777235031,0.02432446912463337,58.79003558718861,50.0,34.34137409660529
2,standard_quality,mdjudge,3372,970,3372,0,0,1.0,0.0,0.0,3372,0,0,3372,3372,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.997797829542013,0.999189555644989,0.003160675906662597,0.0022021689647758265,0.000810387369710952,0.8927626672199754,0.8958635777235031,0.02432446912463337,58.79003558718861,50.0,34.34137409660529
2,standard_quality,nemotron,3372,970,3372,0,0,1.0,0.0,0.0,3372,0,1347,2025,2025,0,0,0.3994661921708185,1.0,0.3994661921708185,0.3994661921708185,0.5708836617927527,0.6005338078291815,0.6005338078291815,,,,,,,,,0.8927626672199754,0.8958635777235031,0.02432446912463337,58.79003558718861,50.0,34.34137409660529
2,standard_quality,qwen3guard_gen,3372,970,3372,0,0,1.0,0.0,0.0,3372,0,2221,1151,1151,0,0,0.6586595492289442,1.0,0.6586595492289442,0.6586595492289442,0.7942070445199356,0.34134045077105574,0.34134045077105574,,,,,,,,,0.8927626672199754,0.8958635777235031,0.02432446912463337,58.79003558718861,50.0,34.34137409660529
2,standard_quality,shieldgemma,3372,970,145,3227,0,0.043001186239620404,0.9569988137603797,0.0,3372,0,9,136,3363,0,0,0.06206896551724138,1.0,0.0026690391459074734,0.06206896551724138,0.1168831168831169,0.9973309608540926,0.9379310344827586,,,,0.9453933189655173,0.9921875,0.10581226706463698,0.08854816042143723,0.007568359375,0.8927626672199754,0.8958635777235031,0.02432446912463337,58.79003558718861,50.0,34.34137409660529
2,standard_quality,wildguard,3372,970,3372,0,0,1.0,0.0,0.0,3372,0,2290,1082,1082,0,0,0.6791221826809015,1.0,0.6791221826809015,0.6791221826809015,0.8089014482515012,0.3208778173190985,0.3208778173190985,,,,0.9794307903321471,1.0,0.06777000012385638,0.6809647263981856,1.0,0.8927626672199754,0.8958635777235031,0.02432446912463337,58.79003558718861,50.0,34.34137409660529
2,standard_quality,xguard,699,386,185,0,514,0.2646638054363376,0.0,0.7353361945636624,699,0,175,10,524,0,0,0.9459459459459459,1.0,0.2503576537911302,0.9459459459459459,0.9722222222222222,0.7496423462088698,0.05405405405405406,,,,,,,,,0.8921219301922979,0.8965439796447754,0.025960159235569165,57.92846924177396,49.0,34.66124280534406
3,gold,llamaguard3,786,292,3,783,0,0.003816793893129771,0.9961832061068703,0.0,786,0,1,2,785,0,0,0.3333333333333333,1.0,0.001272264631043257,0.3333333333333333,0.5,0.9987277353689568,0.6666666666666666,,,,,,,,,0.9951522765875469,1.000000238418579,0.011991615167213856,37.459287531806616,33.0,20.027535096449416
3,gold,llamaguard_permissive,786,292,786,0,0,1.0,0.0,0.0,786,0,41,745,745,0,0,0.05216284987277354,1.0,0.05216284987277354,0.05216284987277354,0.09915356711003628,0.9478371501272265,0.9478371501272265,,,,0.6728596034395786,0.6791787147521973,0.08547780835994279,0.3299584363518477,0.3208213150501251,0.9951522765875469,1.000000238418579,0.011991615167213856,37.459287531806616,33.0,20.027535096449416
3,gold,nemotron,786,292,786,0,0,1.0,0.0,0.0,786,0,192,594,594,0,0,0.24427480916030533,1.0,0.24427480916030533,0.24427480916030533,0.39263803680981596,0.7557251908396947,0.7557251908396947,,,,,,,,,0.9951522765875469,1.000000238418579,0.011991615167213856,37.459287531806616,33.0,20.027535096449416
3,gold,qwen3guard_gen,786,292,786,0,0,1.0,0.0,0.0,786,0,352,434,434,0,0,0.44783715012722647,1.0,0.44783715012722647,0.44783715012722647,0.6186291739894552,0.5521628498727735,0.5521628498727735,,,,,,,,,0.9951522765875469,1.000000238418579,0.011991615167213856,37.459287531806616,33.0,20.027535096449416
3,gold,wildguard,782,291,782,0,0,1.0,0.0,0.0,782,0,782,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9972676230818415,1.0,0.0206398428742875,0.9972676230818415,1.0,0.9951274785239373,1.000000238418579,0.012017251300417002,37.528132992327365,33.0,20.048177602739788
3,high_quality,llamaguard3,4166,663,11,4155,0,0.002640422467594815,0.9973595775324052,0.0,4166,0,6,5,4160,0,0,0.5454545454545454,1.0,0.0014402304368698992,0.5454545454545454,0.7058823529411764,0.9985597695631301,0.45454545454545453,,,,,,,,,0.9382411075136264,0.9436465799808502,0.015397769050193738,48.40950552088334,42.0,27.106208710917162
3,high_quality,llamaguard_permissive,4166,663,4166,0,0,1.0,0.0,0.0,4166,0,481,3685,3685,0,0,0.11545847335573692,1.0,0.11545847335573692,0.11545847335573692,0.2070152786744136,0.8845415266442631,0.8845415266442631,,,,0.6582061311858695,0.6513549089431763,0.09348905418142775,0.3519919141983963,0.3486451506614685,0.9382411075136264,0.9436465799808502,0.015397769050193738,48.40950552088334,42.0,27.106208710917162
3,high_quality,nemotron,4166,663,4166,0,0,1.0,0.0,0.0,4166,0,1881,2285,2285,0,0,0.45151224195871337,1.0,0.45151224195871337,0.45151224195871337,0.622126674383992,0.5484877580412866,0.5484877580412866,,,,,,,,,0.9382411075136264,0.9436465799808502,0.015397769050193738,48.40950552088334,42.0,27.106208710917162
3,high_quality,qwen3guard_gen,4166,663,4166,0,0,1.0,0.0,0.0,4166,0,3054,1112,1112,0,0,0.7330772923667787,1.0,0.7330772923667787,0.7330772923667787,0.845983379501385,0.2669227076332213,0.2669227076332213,,,,,,,,,0.9382411075136264,0.9436465799808502,0.015397769050193738,48.40950552088334,42.0,27.106208710917162
