k_subset,language,classifier_name,model_short,category_balanced_unsafe_recall,quality_weighted_unsafe_recall,guardrail_score,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len,rank_within_language_k
2,Portuguese,wildguard,WildGuard,0.9824561403508772,0.9816210783962113,0.9835422247986855,108,108,108,0,0,1.0,0.0,0.0,108,0,106,2,2,0,0,0.9814814814814815,1.0,0.9814814814814815,0.9814814814814815,0.9906542056074767,0.018518518518518517,0.018518518518518517,,,,0.9846643518518519,1.0,0.05371322067604712,0.9797996238425926,1.0,0.880599944403878,0.904302328824997,0.07107415933080016,56.583333333333336,47.0,35.80244992400307,1
2,Punjabi,crest,CREST,0.7824561403508772,0.7802440195587906,0.8011822966927211,108,108,108,0,0,1.0,0.0,0.0,108,0,84,24,24,0,0,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,0.8750000000000001,0.2222222222222222,0.2222222222222222,,,,0.7943793402777778,0.845703125,0.15235119943195233,0.7112019856770834,0.83203125,0.8908487067178443,0.8997801244258881,0.053242585505611714,58.76851851851852,52.0,35.01230931247148,1
2,Romanian,wildguard,WildGuard,1.0,1.0,1.0,107,107,107,0,0,1.0,0.0,0.0,107,0,107,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9740435163551402,0.99609375,0.0557853198592274,0.9740435163551402,0.99609375,0.8885973304788642,0.9011203646659851,0.05733350642215416,60.018691588785046,53.0,36.80109240288248,1
2,Russian,guardreasoner,GuardReasoner,0.8271929824561404,0.8198282628214524,0.8388499942019447,105,105,105,0,0,1.0,0.0,0.0,105,0,86,19,19,0,0,0.819047619047619,1.0,0.819047619047619,0.819047619047619,0.900523560209424,0.18095238095238095,0.18095238095238095,,,,,,,,,0.8801288989328203,0.894091933965683,0.06711724163732077,58.838095238095235,48.0,39.17297042249428,1
2,Serbian,guardreasoner,GuardReasoner,0.8640350877192982,0.8572436403775794,0.8721477337828755,106,106,105,0,1,0.9905660377358491,0.0,0.009433962264150943,106,0,91,14,15,0,0,0.8666666666666667,1.0,0.8584905660377359,0.8666666666666667,0.9285714285714286,0.14150943396226415,0.13333333333333333,,,,,,,,,0.8853288534677254,0.896802231669426,0.059663069961982486,64.09433962264151,55.5,33.23438503428892,1
2,Shona,wildguard,WildGuard,1.0,1.0,1.0,127,127,127,0,0,1.0,0.0,0.0,127,0,127,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9984005905511811,1.0,0.005354042778876998,0.9984005905511811,1.0,0.8897833673972783,0.8990766406059265,0.08585796255088618,59.8503937007874,53.0,34.61398899246883,1
2,Sindhi,wildguard,WildGuard,1.0,1.0,1.0,102,102,102,0,0,1.0,0.0,0.0,102,0,102,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.998046875,1.0,0.005625891620066121,0.998046875,1.0,0.8732332026257235,0.8992681205272675,0.06549789147391548,54.81372549019608,45.0,30.30594177344409,1
2,Slovak,wildguard,WildGuard,1.0,1.0,1.0,108,108,108,0,0,1.0,0.0,0.0,108,0,108,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9999638310185185,1.0,0.00037587908150366273,0.9999638310185185,1.0,0.8831987080198748,0.892327144742012,0.06490040128145781,59.148148148148145,49.5,37.72101593631283,1
2,Slovenian,wildguard,WildGuard,1.0,1.0,1.0,102,102,102,0,0,1.0,0.0,0.0,102,0,102,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9997702205882353,1.0,0.001074846788698691,0.9997702205882353,1.0,0.8853545121702493,0.8890994936227798,0.05036366804854566,60.1078431372549,46.0,42.306731637371094,1
2,Somali,wildguard,WildGuard,1.0,1.0,1.0,74,74,74,0,0,1.0,0.0,0.0,74,0,74,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.9998416385135135,1.0,0.0010098022771521146,0.9998416385135135,1.0,0.8352270768703641,0.8394656330347061,0.07299140095591809,52.5,41.5,37.44777184878102,1
