k_subset,language,prompts,language_resource_tier,mean_chars,median_chars,p95_chars,mean_words,median_words
3,Filipino (Tagalog),157,low,72.43949044585987,61.0,154.39999999999998,12.51592356687898,11.0
3,Irish,153,low,71.79084967320262,62.0,147.60000000000002,13.372549019607844,11.0
3,Punjabi,155,low,71.73548387096774,58.0,145.2999999999998,15.09032258064516,13.0
3,Nepali,158,low,71.62025316455696,60.5,160.5500000000001,11.955696202531646,10.0
3,Malay,155,medium,71.15483870967742,59.0,167.19999999999976,10.696774193548388,8.0
3,Maltese,199,low,70.99497487437186,61.0,163.59999999999997,11.150753768844222,10.0
3,Welsh,157,low,70.45222929936305,56.0,162.5999999999999,13.280254777070065,11.0
3,Asturian,199,low,69.91457286432161,58.0,164.0,12.090452261306533,10.0
3,Tamil,151,low,69.6887417218543,58.0,155.0,8.900662251655628,7.0
3,Hindi,156,medium,69.50641025641026,59.0,145.5,14.538461538461538,12.0
3,Lingala,177,low,68.5819209039548,59.0,136.39999999999998,11.689265536723164,10.0
3,Georgian,116,low,68.43103448275862,59.5,130.0,9.60344827586207,8.0
3,Occitan,191,low,67.69633507853403,58.0,165.0,12.094240837696335,10.0
3,Indonesian,160,medium,67.2875,58.5,126.24999999999991,9.9875,9.0
3,Spanish,156,high,67.06410256410257,54.5,143.25,11.634615384615385,10.0
3,Malayalam,150,low,66.89333333333333,57.0,128.0,7.48,6.0
3,Khmer,147,low,66.73469387755102,60.0,121.89999999999992,6.333333333333333,3.0
3,Greek,157,medium,66.2484076433121,57.0,162.19999999999987,11.21656050955414,10.0
3,Italian,155,high,66.06451612903226,54.0,140.2999999999998,11.251612903225807,10.0
3,German,155,high,65.93548387096774,55.0,139.29999999999998,10.90967741935484,9.0
3,Kazakh,146,low,65.77397260273973,52.0,156.75,9.301369863013699,7.0
3,Igbo,184,low,65.3804347826087,54.5,132.7,13.51086956521739,11.0
